Lon,Lat,Diam,RBA,Terrane
177.648,68.3802,18.4872,7.046288699,0
178.777,67.7077,11.3525,7.765510972,0
181.774,67.2795,12.3794,-0.731954909,0
183.074,67.5231,14.8231,4.429983408,0
186.615,67.2973,13.3812,4.532873926,0
188.373,67.5512,10.592,1.422954554,0
209.631,64.0322,17.5433,8.097494836,0
222.186,60.8983,11.5045,10.65201518,0
215.222,63.927,11.3545,-0.532613952,0
209.244,65.4282,10.4392,3.094961337,0
196.449,68.0741,11.5667,1.765294744,0
192.948,68.4933,10.1557,6.217061754,0
194.741,68.9879,18.6226,10.3833001,0
190.583,68.4459,15.5428,2.316400842,0
189.968,68.9501,18.6087,7.534770229,0
169.558,69.1823,11.7037,-0.055445887,0
167.226,68.365,24.3274,10.90032224,0
160.29,67.4663,19.0312,-0.219736377,0
156.721,66.9543,13.4721,-3.474947639,0
154.238,66.4447,15.6623,6.023668911,0
149.914,65.6057,13.6071,4.302141739,0
148.848,66.2797,25.0499,2.410806736,0
145.205,65.078,17.5228,-1.719645184,0
139.501,62.5256,12.7166,0.063410134,0
139.491,62.1152,14.2505,2.238220873,0
140.209,63.8418,14.8385,8.050401393,0
138.068,61.581,14.5246,-0.128190442,0
132.003,61.198,12.9535,-1.977100067,0
132.093,62.1549,15.3687,10.60150727,0
136.593,63.7349,21.5012,-4.142157426,0
148.22,67.0996,28.7609,4.847540542,0
152.23,67.4497,10.9978,2.906938729,0
163.775,70.2112,16.9994,-1.310572066,0
169.9,69.8035,12.3635,1.255771151,0
176.849,70.0836,12.2584,9.94383659,0
176.06,70.9663,26.0893,-3.045458952,0
172.753,71.0569,23.9478,3.715539083,0
186.71,70.1593,17.1068,1.383892348,0
183.871,71.8679,23.9308,0.686384752,0
186.336,72.0732,20.2802,3.888188822,0
193.394,70.0517,26.1729,-9.688151278,0
194.749,69.3409,19.676,-3.002353747,0
195.37,70.0841,13.4593,1.92032422,0
196.138,70.13,10.7417,-0.631849966,0
209.596,68.2837,14.6844,11.51357677,0
211.754,66.4176,13.2894,17.31273436,0
219.046,65.1989,10.4196,-1.390452493,0
230.375,60.6891,11.9522,10.14703795,0
230.656,60.9806,10.2113,-0.196434973,0
229.624,62.7718,14.4556,2.572242267,0
212.889,68.8348,10.2152,1.086687267,0
216.793,68.1561,14.7966,12.69108811,0
210.611,68.0666,12.0385,0.702724734,0
208.626,69.5912,12.4033,5.114630637,0
199.829,71.0464,14.9476,0.661357359,0
188.876,71.6891,10.8187,3.136271457,0
179.18,70.9539,11.7861,2.932377867,0
179.027,72.1082,11.5701,3.611416463,0
175.429,71.9936,10.6045,0.645796096,0
159.496,70.7809,11.1513,1.043886754,0
157.436,69.8485,12.1962,3.448241,0
153.42,69.7976,12.7742,3.423971737,0
145.905,68.2081,10.5162,3.393006013,0
147.274,68.5557,17.787,0.703108897,0
147.112,68.0673,27.3988,-2.047236986,0
147.525,68.9017,15.8494,4.209858001,0
148.776,69.22,13.5342,2.965559262,0
147.167,69.6442,14.5619,5.357057846,0
143.304,67.684,28.8542,7.162334978,0
138.147,65.249,19.3683,-1.239065558,0
140.714,66.9412,17.5241,-2.684773786,0
131.257,61.5407,20.7742,2.054722791,0
127.184,62.7125,16.7885,3.401401853,0
130.567,63.7156,11.7272,-0.008253113,0
127.699,63.8883,23.8869,-2.019290084,0
130.902,64.0688,18.3713,0.970175601,0
130.402,64.8544,20.7381,1.854309742,0
135.363,65.2491,24.9462,-1.66004942,0
